Sem.,Día,Fecha,Hora,Local,xG,Marcador,xG,Visitante,Asistencia,Sedes,Árbitro,Informe del partido,Notas
14,Dom,2021-11-21,18:30,Elche,1.0,0–3,1.8,Betis,16127,Estadio Manuel Martínez Valero,Valentín Pizarro,Informe del partido,
14,Dom,2021-11-21,21:00,Real Sociedad,0.5,0–0,0.9,Valencia,28635,Estadio Municipal de Anoeta,Mario Melero,Informe del partido,
14,Lun,2021-11-22,21:00,Rayo Vallecano,2.7,3–1,1.0,Mallorca,6708,Estadio del Rayo Vallecano,Jorge Figueroa,Informe del partido,
,,,,,,,,,,,,,
15,Vie,2021-11-26,21:00,Athletic Club,1.3,2–2,1.1,Granada,32651,San Mamés,Adrián Cordero,Informe del partido,
15,Sáb,2021-11-27,14:00,Alavés,0.9,1–2,1.3,Celta Vigo,10093,Estadio de Mendizorroza,Pablo González,Informe del partido,
15,Sáb,2021-11-27,16:15,Valencia,1.5,1–1,1.3,Rayo Vallecano,30030,Estadio de Mestalla,Alejandro Hernández,Informe del partido,
15,Sáb,2021-11-27,18:30,Mallorca,0.6,0–0,0.8,Getafe,8635,Iberostar Estadi,Santiago Jaime,Informe del partido,
15,Sáb,2021-11-27,21:00,Villarreal,1.3,1–3,3.4,Barcelona,19050,Estadio de la Cerámica,César Soto,Informe del partido,
15,Dom,2021-11-28,14:00,Betis,2.7,3–1,0.5,Levante,45012,Estadio Benito Villamarín,Miguel Ángel Ortiz Arias,Informe del partido,
15,Dom,2021-11-28,16:15,Espanyol,0.6,1–0,1.9,Real Sociedad,19935,RCDE Stadium,Antonio Matéu Lahoz,Informe del partido,
15,Dom,2021-11-28,18:30,Cádiz,1.1,1–4,3.9,Atlético Madrid,16861,Estadio Nuevo Mirandilla,Jesús Gil,Informe del partido,
15,Dom,2021-11-28,21:00,Real Madrid,1.3,2–1,0.8,Sevilla,45281,Estadio Santiago Bernabéu,José Sánchez,Informe del partido,
15,Lun,2021-11-29,21:00,Osasuna,1.9,1–1,1.2,Elche,16485,Estadio El Sadar,Isidro Díaz de Mera,Informe del partido,
,,,,,,,,,,,,,
9,Mié,2021-12-01,21:00,Real Madrid,1.9,1–0,2.5,Athletic Club,33627,Estadio Santiago Bernabéu,Isidro Díaz de Mera,Informe del partido,
,,,,,,,,,,,,,
16,Vie,2021-12-03,21:00,Granada,1.0,2–1,2.2,Alavés,13511,Estadio Nuevo Los Cármenes,Alberola Rojas,Informe del partido,
16,Sáb,2021-12-04,14:00,Sevilla,0.6,1–0,1.9,Villarreal,30865,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Informe del partido,
16,Sáb,2021-12-04,16:15,Barcelona,1.1,0–1,0.8,Betis,66529,Camp Nou,Pablo González,Informe del partido,
16,Sáb,2021-12-04,18:30,Atlético Madrid,1.6,1–2,0.8,Mallorca,51009,Estadio Wanda Metropolitano,Juan Martínez,Informe del partido,
16,Sáb,2021-12-04,21:00,Real Sociedad,0.9,0–2,1.7,Real Madrid,35765,Estadio Municipal de Anoeta,Jesús Gil,Informe del partido,
16,Dom,2021-12-05,14:00,Rayo Vallecano,0.8,1–0,0.6,Espanyol,8679,Estadio del Rayo Vallecano,José Luis Munuera,Informe del partido,
16,Dom,2021-12-05,16:15,Elche,2.7,3–1,1.6,Cádiz,11879,Estadio Manuel Martínez Valero,Alejandro Muñíz,Informe del partido,
16,Dom,2021-12-05,18:30,Levante,0.6,0–0,0.4,Osasuna,15361,Estadio Ciudad de Valencia,Valentín Pizarro,Informe del partido,
16,Dom,2021-12-05,21:00,Celta Vigo,0.9,1–2,1.2,Valencia,11361,Estadio de Balaídos,Ricardo de Burgos,Informe del partido,
16,Lun,2021-12-06,21:00,Getafe,1.6,0–0,0.7,Athletic Club,9176,Coliseum Alfonso Pérez,Jorge Figueroa,Informe del partido,
,,,,,,,,,,,,,
17,Vie,2021-12-10,21:00,Mallorca,1.2,0–0,1.3,Celta Vigo,10655,Iberostar Estadi,Isidro Díaz de Mera,Informe del partido,
17,Sáb,2021-12-11,14:00,Espanyol,2.4,4–3,3.0,Levante,15193,RCDE Stadium,Adrián Cordero,Informe del partido,
17,Sáb,2021-12-11,16:15,Alavés,0.6,1–1,1.0,Getafe,10065,Estadio de Mendizorroza,César Soto,Informe del partido,
17,Sáb,2021-12-11,18:30,Valencia,1.9,2–1,1.0,Elche,31662,Estadio de Mestalla,Santiago Jaime,Informe del partido,
17,Sáb,2021-12-11,21:00,Athletic Club,1.9,0–1,0.3,Sevilla,36737,San Mamés,Alejandro Hernández,Informe del partido,
17,Dom,2021-12-12,14:00,Villarreal,2.6,2–0,2.2,Rayo Vallecano,13133,Estadio de la Cerámica,Mario Melero,Informe del partido,
17,Dom,2021-12-12,16:15,Osasuna,0.3,2–2,0.9,Barcelona,21427,Estadio El Sadar,Juan Martínez,Informe del partido,
17,Dom,2021-12-12,18:30,Betis,1.7,4–0,1.2,Real Sociedad,52158,Estadio Benito Villamarín,José Sánchez,Informe del partido,
17,Dom,2021-12-12,21:00,Real Madrid,0.6,2–0,0.8,Atlético Madrid,51024,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Informe del partido,
17,Lun,2021-12-13,21:00,Cádiz,0.7,1–1,1.6,Granada,13052,Estadio Nuevo Mirandilla,Miguel Ángel Ortiz Arias,Informe del partido,
,,,,,,,,,,,,,
18,Vie,2021-12-17,21:00,Celta Vigo,1.0,3–1,0.3,Espanyol,9526,Estadio de Balaídos,Valentín Pizarro,Informe del partido,
18,Sáb,2021-12-18,14:00,Rayo Vallecano,2.0,2–0,0.3,Alavés,7911,Estadio del Rayo Vallecano,Antonio Matéu Lahoz,Informe del partido,
18,Sáb,2021-12-18,16:15,Real Sociedad,1.3,1–3,3.0,Villarreal,29679,Estadio Municipal de Anoeta,Jorge Figueroa,Informe del partido,
18,Sáb,2021-12-18,18:30,Barcelona,3.0,3–2,1.2,Elche,41664,Camp Nou,Alberola Rojas,Informe del partido,
18,Sáb,2021-12-18,21:00,Sevilla,0.5,2–1,1.1,Atlético Madrid,33241,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,Informe del partido,
18,Dom,2021-12-19,14:00,Granada,2.3,4–1,1.2,Mallorca,13014,Estadio Nuevo Los Cármenes,Alejandro Muñíz,Informe del partido,
18,Dom,2021-12-19,16:15,Athletic Club,1.5,3–2,2.4,Betis,38002,San Mamés,Jesús Gil,Informe del partido,
18,Dom,2021-12-19,18:30,Getafe,1.4,1–0,0.6,Osasuna,8126,Coliseum Alfonso Pérez,José Luis Munuera,Informe del partido,
18,Dom,2021-12-19,21:00,Real Madrid,2.6,0–0,0.3,Cádiz,38818,Estadio Santiago Bernabéu,Santiago Jaime,Informe del partido,
18,Lun,2021-12-20,21:00,Levante,2.8,3–4,2.0,Valencia,18851,Estadio Ciudad de Valencia,Pablo González,Informe del partido,
